epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
184,2505.09,0.04089,0.9194,1,0.83065,6.72231e-05,6.72231e-05,6.72231e-05
185,2519.1,0.03733,0.91565,1,0.831,6.36888e-05,6.36888e-05,6.36888e-05
186,2533.19,0.0392,0.91753,1,0.82853,6.01545e-05,6.01545e-05,6.01545e-05
187,2546.67,0.04245,0.91565,1,0.82833,5.66202e-05,5.66202e-05,5.66202e-05
188,2560.35,0.02893,0.91846,1,0.82814,5.30859e-05,5.30859e-05,5.30859e-05
189,2574.36,0.0353,0.91659,1,0.8297,4.95516e-05,4.95516e-05,4.95516e-05
190,2588.11,0.03208,0.91378,1,0.82966,4.60173e-05,4.60173e-05,4.60173e-05
191,2602.71,0.04246,0.91378,1,0.8307,4.2483e-05,4.2483e-05,4.2483e-05
192,2616.88,0.02849,0.91565,1,0.82745,3.89487e-05,3.89487e-05,3.89487e-05
193,2631.11,0.0342,0.91378,1,0.82716,3.54144e-05,3.54144e-05,3.54144e-05
194,2645.06,0.03834,0.91471,1,0.82917,3.18801e-05,3.18801e-05,3.18801e-05
195,2659.22,0.0412,0.91565,1,0.82959,2.83458e-05,2.83458e-05,2.83458e-05
196,2672.74,0.04145,0.91565,1,0.82779,2.48115e-05,2.48115e-05,2.48115e-05
197,2687.72,0.0243,0.9194,1,0.826,2.12772e-05,2.12772e-05,2.12772e-05
198,2701.11,0.02586,0.9194,1,0.82616,1.77429e-05,1.77429e-05,1.77429e-05
199,2714.69,0.03052,0.9194,1,0.82591,1.42086e-05,1.42086e-05,1.42086e-05
200,2728.74,0.0289,0.92034,1,0.82498,1.06743e-05,1.06743e-05,1.06743e-05
